global_batch,control_batch,arrow_task_batch,qa_task_batch
61600,0.001233,0.003095,0.001068
61700,0.001242,0.003061,0.001077
61800,0.001253,0.003052,0.001069
61900,0.001272,0.003080,0.001067
62000,0.001241,0.003108,0.001065
62100,0.001255,0.003101,0.001070
62200,0.001285,0.003090,0.001077
62300,0.001250,0.003074,0.001079
62400,0.001306,0.003078,0.001065
62500,0.001259,0.003099,0.001071
62600,0.001234,0.003084,0.001055
62700,0.001255,0.003114,0.001075
62800,0.001269,0.003055,0.001060
62900,0.001246,0.003099,0.001061
63000,0.001262,0.003086,0.001061
63100,0.001253,0.003062,0.001064
63200,0.001265,0.003068,0.001061
63300,0.001298,0.003079,0.001081
63400,0.001225,0.003021,0.001066
63500,0.001253,0.003076,0.001065
63600,0.001239,0.003068,0.001054
63700,0.001254,0.003052,0.001053
63800,0.001241,0.003093,0.001058
63900,0.001246,0.003044,0.001064
64000,0.001242,0.003116,0.001047
64100,0.001239,0.003093,0.001096
64200,0.001281,0.003107,0.001055
64300,0.001230,0.003092,0.001060
64400,0.001231,0.003131,0.001064
64500,0.001251,0.003074,0.001071
64600,0.001231,0.003064,0.001074
64700,0.001257,0.003061,0.001058
64800,0.001264,0.003073,0.001075
64900,0.001248,0.003073,0.001045
65000,0.001248,0.003043,0.001085
65100,0.001236,0.003101,0.001070
65200,0.001233,0.003089,0.001053
65300,0.001231,0.002999,0.001053
65400,0.001240,0.003087,0.001061
65500,0.001240,0.003072,0.001061
65600,0.001268,0.003081,0.001072
65700,0.001244,0.003100,0.001063
65800,0.001260,0.003114,0.001044
65900,0.001254,0.003064,0.001067
66000,0.001222,0.003072,0.001062
66100,0.001244,0.003116,0.001079
66200,0.001263,0.003111,0.001057
66300,0.001319,0.003091,0.001069
66400,0.001265,0.003086,0.001072
66500,0.001254,0.003076,0.001059
66600,0.001263,0.003052,0.001059
66700,0.001283,0.003064,0.001054
66800,0.001234,0.003101,0.001067
66900,0.001236,0.003164,0.001055
67000,0.001239,0.003042,0.001044
67100,0.001255,0.003096,0.001059
67200,0.001222,0.003070,0.001069
67300,0.001258,0.003053,0.001053
67400,0.001242,0.003039,0.001058
67500,0.001225,0.003054,0.001057
67600,0.001223,0.003077,0.001079
67700,0.001265,0.003096,0.001052
67800,0.001265,0.003105,0.001069
67900,0.001264,0.003057,0.001055
68000,0.001249,0.003067,0.001076
68100,0.001247,0.003108,0.001046
68200,0.001249,0.003063,0.001066
68300,0.001273,0.003052,0.001093
68400,0.001277,0.003077,0.001049
68500,0.001289,0.003114,0.001073
68600,0.001275,0.003087,0.001057
68700,0.001250,0.003081,0.001043
68800,0.001242,0.003053,0.001058
68900,0.001220,0.003106,0.001043
69000,0.001187,0.003054,0.001067
69100,0.001269,0.003042,0.001047
69200,0.001250,0.003074,0.001050
69300,0.001280,0.003101,0.001054
69400,0.001244,0.003030,0.001050
69500,0.001273,0.002999,0.001056
69600,0.001195,0.003053,0.001066
69700,0.001274,0.003051,0.001057
69800,0.001256,0.003101,0.001047
69900,0.001218,0.003077,0.001061
70000,0.001235,0.003069,0.001070
70100,0.001279,0.003075,0.001041
70200,0.001249,0.003050,0.001051
70300,0.001266,0.003114,0.001049
70400,0.001236,0.003082,0.001062
70500,0.001244,0.003074,0.001046
70600,0.001230,0.003092,0.001051
70700,0.001240,0.003091,0.001068
70800,0.001226,0.003043,0.001069
70900,0.001247,0.003057,0.001050
71000,0.001280,0.003063,0.001057
71100,0.001177,0.003094,0.001052
71200,0.001268,0.003089,0.001045
71300,0.001249,0.003056,0.001050
71400,0.001219,0.003048,0.001051
71500,0.001212,0.003045,0.001056
71600,0.001307,0.003086,0.001053
71700,0.001227,0.003095,0.001049
