global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch
16100,0.001175,0.001471,0.002845,0.044080,0.001367,0.001140,0.001033,0.002603,0.002349,0.001701
16200,0.001395,0.001324,0.002425,0.016257,0.001259,0.001130,0.001066,0.002544,0.002120,0.001495
16300,0.001051,0.001368,0.002611,0.015625,0.001338,0.001213,0.001775,0.002619,0.002548,0.001485
16400,0.000810,0.001352,0.002325,0.010088,0.001198,0.000953,0.001082,0.002439,0.001959,0.001133
16500,0.000751,0.001203,0.002290,0.007676,0.001062,0.000887,0.000961,0.002374,0.001766,0.000981
16600,0.000744,0.001159,0.002204,0.007662,0.001039,0.000865,0.000889,0.002357,0.001775,0.000904
16700,0.000696,0.001270,0.002164,0.007115,0.001011,0.000851,0.000845,0.002298,0.001786,0.000840
16800,0.000678,0.001121,0.002097,0.007431,0.001009,0.000829,0.000865,0.002269,0.001748,0.000826
16900,0.000655,0.001231,0.002092,0.007100,0.001002,0.000843,0.000854,0.002261,0.001717,0.000852
17000,0.000654,0.001147,0.002104,0.007415,0.000989,0.000834,0.000840,0.002231,0.001727,0.000832
17100,0.000658,0.001153,0.002083,0.007462,0.000977,0.000813,0.000857,0.002250,0.001719,0.000766
17200,0.000643,0.001185,0.002085,0.007325,0.000975,0.000829,0.000829,0.002225,0.001727,0.000810
17300,0.000667,0.001185,0.002073,0.007686,0.000977,0.000835,0.000863,0.002232,0.001693,0.000805
17400,0.000665,0.001224,0.002147,0.009600,0.000973,0.000811,0.000849,0.002254,0.001731,0.000838
17500,0.000648,0.001203,0.002056,0.006964,0.000976,0.000819,0.000854,0.002263,0.001773,0.000952
17600,0.000654,0.001232,0.002139,0.008057,0.000970,0.000816,0.000841,0.002239,0.001668,0.000873
17700,0.000621,0.001143,0.002057,0.008144,0.000946,0.000828,0.000823,0.002237,0.001740,0.000804
17800,0.000661,0.001158,0.002062,0.007011,0.000953,0.000809,0.000834,0.002227,0.001740,0.000785
17900,0.000656,0.001169,0.002057,0.008297,0.000946,0.000821,0.000842,0.002226,0.001698,0.000805
18000,0.000624,0.001243,0.002071,0.006886,0.000952,0.000808,0.000814,0.002250,0.001699,0.000792
18100,0.000638,0.001181,0.002033,0.006705,0.000936,0.000802,0.000817,0.002212,0.001698,0.000782
18200,0.000615,0.001167,0.002087,0.006786,0.000945,0.000812,0.000806,0.002239,0.001636,0.000801
18300,0.000614,0.001074,0.002015,0.007282,0.000951,0.000805,0.000815,0.002202,0.001705,0.000780
18400,0.000660,0.001056,0.002059,0.006781,0.000934,0.000815,0.000833,0.002228,0.001680,0.000787
18500,0.000619,0.001193,0.002050,0.006831,0.000955,0.000785,0.000831,0.002205,0.001644,0.000787
18600,0.000612,0.001107,0.002068,0.006926,0.000954,0.000807,0.000813,0.002208,0.001730,0.000772
18700,0.000616,0.001233,0.002038,0.007132,0.000952,0.000804,0.000802,0.002257,0.001726,0.000770
18800,0.000614,0.001204,0.002039,0.006931,0.000942,0.000826,0.000819,0.002206,0.001695,0.000814
18900,0.000628,0.001189,0.002082,0.006832,0.000939,0.000810,0.000811,0.002202,0.001702,0.000776
19000,0.000628,0.001121,0.002080,0.007338,0.000942,0.000796,0.000842,0.002205,0.001643,0.000762
19100,0.000627,0.001133,0.002075,0.006687,0.000936,0.000795,0.000802,0.002215,0.001699,0.000769
