batch,total_loss,img_recall_loss,text_loss,weight_ce_loss
16700,0.03166525065898895,0.0,0.0,0.03166525065898895
16800,0.045181505382061005,0.0,0.0,0.045181505382061005
16900,0.019999999552965164,0.0,0.0,0.019999999552965164
17000,0.03329874947667122,0.0,0.0,0.03329874947667122
17100,0.04523073136806488,0.0,0.0,0.04523073136806488
17200,0.019999999552965164,0.0,0.0,0.019999999552965164
17300,0.03175584226846695,0.0,0.0,0.03175584226846695
17400,0.06766799092292786,0.0,0.0,0.06766799092292786
17500,0.019999999552965164,0.0,0.0,0.019999999552965164
17600,0.031660597771406174,0.0,0.0,0.031660597771406174
17700,0.044944487512111664,0.0,0.0,0.044944487512111664
17800,0.019999999552965164,0.0,0.0,0.019999999552965164
17900,0.040072470903396606,0.0,0.0,0.040072470903396606
18000,0.04595474898815155,0.0,0.0,0.04595474898815155
18100,0.019999999552965164,0.0,0.0,0.019999999552965164
18200,0.03198758512735367,0.0,0.0,0.03198758512735367
18300,0.08803878724575043,0.0,0.0,0.08803878724575043
18400,0.019999999552965164,0.0,0.0,0.019999999552965164
18500,0.031715359538793564,0.0,0.0,0.031715359538793564
18600,0.04528910666704178,0.0,0.0,0.04528910666704178
18700,0.019999999552965164,0.0,0.0,0.019999999552965164
18800,0.03167959675192833,0.0,0.0,0.03167959675192833
18900,0.04721566289663315,0.0,0.0,0.04721566289663315
19000,0.019999999552965164,0.0,0.0,0.019999999552965164
19100,0.03164350241422653,0.0,0.0,0.03164350241422653
19200,0.04512934386730194,0.0,0.0,0.04512934386730194
19300,0.019999999552965164,0.0,0.0,0.019999999552965164
19400,0.03165121003985405,0.0,0.0,0.03165121003985405
19500,0.044932566583156586,0.0,0.0,0.044932566583156586
19600,0.019999999552965164,0.0,0.0,0.019999999552965164
19700,0.03163343295454979,0.0,0.0,0.03163343295454979
19800,0.045361630618572235,0.0,0.0,0.045361630618572235
19900,0.019999999552965164,0.0,0.0,0.019999999552965164
20000,0.03158995881676674,0.0,0.0,0.03158995881676674
20100,0.04496580362319946,0.0,0.0,0.04496580362319946
20200,0.019999999552965164,0.0,0.0,0.019999999552965164
20300,0.03157646581530571,0.0,0.0,0.03157646581530571
20400,0.044798895716667175,0.0,0.0,0.044798895716667175
20500,0.019999999552965164,0.0,0.0,0.019999999552965164
20600,0.03159266710281372,0.0,0.0,0.03159266710281372
20700,0.045210063457489014,0.0,0.0,0.045210063457489014
20800,0.019999999552965164,0.0,0.0,0.019999999552965164
20900,0.035883668810129166,0.0,0.0,0.035883668810129166
21000,0.04510616511106491,0.0,0.0,0.04510616511106491
21100,0.019999999552965164,0.0,0.0,0.019999999552965164
21200,0.032096024602651596,0.0,0.0,0.032096024602651596
21300,0.045979030430316925,0.0,0.0,0.045979030430316925
21400,0.019999999552965164,0.0,0.0,0.019999999552965164
21500,0.03183506429195404,0.0,0.0,0.03183506429195404
21600,0.04498039186000824,0.0,0.0,0.04498039186000824
21700,0.019999999552965164,0.0,0.0,0.019999999552965164
21800,0.03214716538786888,0.0,0.0,0.03214716538786888
21900,0.044914111495018005,0.0,0.0,0.044914111495018005
22000,0.019999999552965164,0.0,0.0,0.019999999552965164
22100,0.03171272203326225,0.0,0.0,0.03171272203326225
22200,0.04519878327846527,0.0,0.0,0.04519878327846527
22300,0.019999999552965164,0.0,0.0,0.019999999552965164
22400,0.03162342682480812,0.0,0.0,0.03162342682480812
22500,0.04487990587949753,0.0,0.0,0.04487990587949753
22600,0.019999999552965164,0.0,0.0,0.019999999552965164
22700,0.03159670904278755,0.0,0.0,0.03159670904278755
22800,0.04483257979154587,0.0,0.0,0.04483257979154587
22900,0.019999999552965164,0.0,0.0,0.019999999552965164
23000,0.031571757048368454,0.0,0.0,0.031571757048368454
23100,0.044848449528217316,0.0,0.0,0.044848449528217316
23200,0.019999999552965164,0.0,0.0,0.019999999552965164
23300,0.03158976510167122,0.0,0.0,0.03158976510167122
23400,0.04542825371026993,0.0,0.0,0.04542825371026993
23500,0.019999999552965164,0.0,0.0,0.019999999552965164
23600,0.03685963898897171,0.0,0.0,0.03685963898897171
23700,0.07113270461559296,0.0,0.0,0.07113270461559296
23800,0.019999999552965164,0.0,0.0,0.019999999552965164
23900,0.03175234794616699,0.0,0.0,0.03175234794616699
24000,0.046297281980514526,0.0,0.0,0.046297281980514526
24100,0.019999999552965164,0.0,0.0,0.019999999552965164
24200,0.03166183829307556,0.0,0.0,0.03166183829307556
24300,0.044934265315532684,0.0,0.0,0.044934265315532684
24400,0.019999999552965164,0.0,0.0,0.019999999552965164
24500,0.03162141516804695,0.0,0.0,0.03162141516804695
24600,0.04620838910341263,0.0,0.0,0.04620838910341263
24700,0.019999999552965164,0.0,0.0,0.019999999552965164
24800,0.03173578158020973,0.0,0.0,0.03173578158020973
24900,0.045248404145240784,0.0,0.0,0.045248404145240784
25000,0.019999999552965164,0.0,0.0,0.019999999552965164
25100,0.03174871578812599,0.0,0.0,0.03174871578812599
25200,0.04487520456314087,0.0,0.0,0.04487520456314087
25300,0.019999999552965164,0.0,0.0,0.019999999552965164
25400,0.031779639422893524,0.0,0.0,0.031779639422893524
25500,0.04487276077270508,0.0,0.0,0.04487276077270508
25600,0.019999999552965164,0.0,0.0,0.019999999552965164
25700,0.031581491231918335,0.0,0.0,0.031581491231918335
25800,0.0448322594165802,0.0,0.0,0.0448322594165802
25900,0.019999999552965164,0.0,0.0,0.019999999552965164
26000,0.03158154338598251,0.0,0.0,0.03158154338598251
26100,0.044889576733112335,0.0,0.0,0.044889576733112335
26200,0.019999999552965164,0.0,0.0,0.019999999552965164
26300,0.03241456300020218,0.0,0.0,0.03241456300020218
