global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch,secondary_solver_batch
12600,0.000586,0.000987,0.003075,0.006970,0.001138,0.000994,0.000999,0.002102,0.002605,0.000685,0.000353,0.000350
12700,0.000584,0.000980,0.003082,0.006776,0.001146,0.001000,0.001001,0.002108,0.002356,0.000668,0.000362,0.000351
12800,0.000579,0.000944,0.003076,0.007083,0.001135,0.001000,0.000998,0.002141,0.002223,0.000630,0.000333,0.000360
12900,0.000621,0.000959,0.003082,0.006915,0.001139,0.000997,0.000997,0.002153,0.002858,0.000599,0.000349,0.000348
13000,0.000617,0.000974,0.003079,0.005875,0.001140,0.000996,0.000997,0.002127,0.002576,0.000662,0.000340,0.000348
13100,0.000549,0.000968,0.003080,0.007559,0.001148,0.000999,0.000999,0.002090,0.002477,0.000570,0.000357,0.000349
13200,0.000557,0.001015,0.003077,0.007248,0.001144,0.000997,0.001000,0.002133,0.002506,0.000629,0.000355,0.000371
13300,0.000592,0.000942,0.003071,0.007016,0.001132,0.001001,0.001002,0.002076,0.002179,0.000619,0.000367,0.000366
13400,0.000598,0.000891,0.003078,0.008294,0.001127,0.000999,0.001002,0.002097,0.002982,0.000607,0.000353,0.000358
13500,0.000573,0.000974,0.003081,0.006134,0.001136,0.000996,0.000997,0.002118,0.002579,0.000674,0.000349,0.000368
13600,0.000564,0.000946,0.003079,0.006991,0.001131,0.000999,0.000998,0.002159,0.002764,0.000593,0.000353,0.000356
13700,0.000568,0.000922,0.003086,0.007202,0.001139,0.000998,0.000999,0.002102,0.002527,0.000618,0.000361,0.000358
13800,0.000575,0.000967,0.003077,0.007539,0.001145,0.001001,0.000999,0.002118,0.002595,0.000657,0.000359,0.000381
13900,0.000594,0.000988,0.003085,0.006040,0.001131,0.001000,0.000999,0.002129,0.002378,0.000629,0.000342,0.000364
14000,0.000557,0.000914,0.003080,0.006225,0.001136,0.001000,0.001002,0.002156,0.002475,0.000618,0.000326,0.000356
14100,0.000582,0.000906,0.003074,0.006487,0.001132,0.000996,0.001000,0.002142,0.002370,0.000693,0.000363,0.000357
14200,0.000582,0.000997,0.003081,0.007642,0.001136,0.000997,0.000996,0.002131,0.002131,0.000583,0.000331,0.000374
14300,0.000596,0.000926,0.003077,0.006589,0.001145,0.001000,0.000998,0.002120,0.002443,0.000689,0.000375,0.000355
14400,0.000594,0.000986,0.003081,0.006435,0.001134,0.000997,0.001000,0.002125,0.002497,0.000602,0.000332,0.000363
14500,0.000604,0.000961,0.003077,0.006015,0.001134,0.000999,0.000998,0.002148,0.002732,0.000596,0.000348,0.000360
14600,0.000606,0.001028,0.003077,0.006565,0.001133,0.000999,0.000997,0.002129,0.002261,0.000612,0.000350,0.000379
14700,0.000599,0.000964,0.003078,0.005516,0.001144,0.000999,0.001000,0.002114,0.002165,0.000632,0.000360,0.000361
14800,0.000592,0.000964,0.003083,0.007363,0.001131,0.000998,0.000999,0.002142,0.002240,0.000683,0.000340,0.000346
14900,0.000578,0.000889,0.003083,0.006784,0.001130,0.000999,0.001001,0.002127,0.002932,0.000592,0.000365,0.000369
15000,0.000613,0.000995,0.003078,0.007414,0.001144,0.000999,0.000998,0.002118,0.002480,0.000676,0.000317,0.000361
15100,0.000552,0.000950,0.003079,0.006052,0.001124,0.000997,0.000995,0.002133,0.002603,0.000695,0.000350,0.000364
15200,0.000570,0.001026,0.003074,0.006591,0.001137,0.000997,0.000998,0.002162,0.002471,0.000594,0.000329,0.000370
15300,0.000563,0.000931,0.003084,0.006539,0.001152,0.001002,0.001002,0.002158,0.002327,0.000614,0.000324,0.000362
15400,0.000565,0.001012,0.003077,0.006230,0.001140,0.000997,0.000998,0.002131,0.002464,0.000721,0.000373,0.000359
15500,0.000576,0.001014,0.003082,0.006761,0.001145,0.000998,0.001001,0.002150,0.002775,0.000645,0.000339,0.000372
15600,0.000615,0.001015,0.003079,0.007367,0.001143,0.001000,0.000998,0.002155,0.002427,0.000624,0.000356,0.000363
15700,0.000608,0.000961,0.003073,0.006398,0.001141,0.000997,0.001002,0.002145,0.002233,0.000661,0.000351,0.000371
15800,0.000569,0.000913,0.003079,0.006285,0.001134,0.000998,0.000997,0.002143,0.002333,0.000655,0.000341,0.000361
15900,0.000591,0.001042,0.003075,0.006767,0.001131,0.000999,0.001003,0.002119,0.002413,0.000609,0.000363,0.000351
16000,0.000575,0.001018,0.003081,0.008053,0.001135,0.000997,0.000998,0.002178,0.002218,0.000628,0.000362,0.000363
16100,0.000600,0.000993,0.003075,0.005868,0.001132,0.000998,0.000998,0.002161,0.002163,0.000675,0.000369,0.000370
