global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch
16400,0.002240,0.001591,0.008825,0.008785
16500,0.002221,0.001583,0.008864,0.008517
16600,0.002223,0.001625,0.008868,0.008130
16700,0.002238,0.001867,0.008866,0.008663
16800,0.002228,0.001634,0.008870,0.008387
16900,0.002227,0.001527,0.008843,0.008116
17000,0.002215,0.001645,0.008863,0.008393
17100,0.002253,0.001749,0.008852,0.008323
17200,0.002240,0.001681,0.008849,0.008489
17300,0.002214,0.001932,0.008858,0.008269
17400,0.002213,0.001692,0.008843,0.008545
17500,0.002234,0.001678,0.008846,0.008132
17600,0.002205,0.001656,0.008833,0.008539
17700,0.002253,0.001856,0.008803,0.008644
17800,0.002237,0.001854,0.008850,0.008441
17900,0.002192,0.001725,0.008839,0.008433
18000,0.002201,0.001569,0.008808,0.008612
18100,0.002202,0.001846,0.008813,0.008180
18200,0.012699,0.004948,0.011919,0.055826
18300,0.004801,0.005376,0.012126,0.067757
18400,0.003926,0.005244,0.010513,0.028558
18500,0.004652,0.005195,0.010453,0.017329
18600,0.004751,0.004510,0.009642,0.010003
18700,0.002800,0.002829,0.009368,0.010251
18800,0.003911,0.002930,0.009466,0.010542
18900,0.003855,0.002669,0.009316,0.010283
19000,0.002632,0.002122,0.009217,0.009525
19100,0.002622,0.001903,0.009203,0.008991
19200,0.002550,0.001790,0.009164,0.009252
19300,0.002499,0.001796,0.009122,0.009771
19400,0.002492,0.001833,0.009080,0.009020
19500,0.002791,0.001781,0.009083,0.008489
19600,0.002434,0.001752,0.009065,0.008461
19700,0.002398,0.001787,0.009044,0.008834
19800,0.002401,0.001830,0.009031,0.008242
19900,0.002391,0.001662,0.009004,0.008732
20000,0.002395,0.002211,0.009031,0.008863
20100,0.002451,0.001931,0.009022,0.009540
20200,0.002382,0.001765,0.008989,0.008073
20300,0.002387,0.001607,0.008977,0.008833
20400,0.002364,0.001646,0.008962,0.009100
20500,0.002289,0.001586,0.008946,0.008300
20600,0.002333,0.001641,0.008947,0.008827
20700,0.002453,0.001711,0.008987,0.009029
20800,0.002348,0.001718,0.008937,0.008718
20900,0.002314,0.001677,0.008955,0.008546
21000,0.003624,0.002716,0.009147,0.012633
21100,0.002684,0.002035,0.009086,0.008740
21200,0.002544,0.001801,0.009036,0.008959
21300,0.002452,0.001674,0.009013,0.008636
21400,0.002431,0.001803,0.009016,0.009055
21500,0.002395,0.001653,0.008977,0.008511
21600,0.002423,0.001662,0.009487,0.008850
21700,0.002379,0.001698,0.008961,0.008255
21800,0.002355,0.001573,0.008947,0.008333
21900,0.002345,0.001613,0.008960,0.008483
22000,0.002352,0.001678,0.008923,0.008559
22100,0.002334,0.001527,0.008916,0.008246
22200,0.002334,0.001603,0.008911,0.008891
22300,0.002322,0.001675,0.008928,0.008460
22400,0.002317,0.001601,0.008914,0.008451
22500,0.002315,0.001638,0.008905,0.008371
22600,0.005577,0.002892,0.009667,0.012691
22700,0.003032,0.002309,0.009260,0.008533
22800,0.002675,0.002053,0.009146,0.008971
22900,0.002588,0.001764,0.009046,0.008482
23000,0.002536,0.001814,0.009031,0.008653
23100,0.002456,0.001748,0.009009,0.008291
23200,0.002416,0.001662,0.008988,0.008948
23300,0.002397,0.001686,0.008964,0.008203
23400,0.002407,0.001654,0.008945,0.008170
23500,0.002374,0.001738,0.008978,0.008291
23600,0.002380,0.001654,0.008921,0.008415
23700,0.002369,0.001746,0.008951,0.008525
23800,0.002385,0.001750,0.008971,0.008345
23900,0.002340,0.001649,0.008921,0.008393
24000,0.002339,0.001716,0.008917,0.008328
24100,0.002327,0.001626,0.008922,0.008371
24200,0.004042,0.001652,0.008958,0.008111
24300,0.002307,0.001663,0.008933,0.008360
24400,0.002317,0.001543,0.008897,0.008470
24500,0.002307,0.001654,0.008909,0.008391
24600,0.002296,0.001710,0.008896,0.008265
24700,0.002295,0.001675,0.008885,0.008310
24800,0.002274,0.001780,0.008895,0.008239
24900,0.002283,0.001723,0.008885,0.008469
25000,0.002290,0.001631,0.008882,0.008428
25100,0.002264,0.001811,0.008867,0.008031
25200,0.002290,0.001545,0.008889,0.008431
25300,0.002263,0.001526,0.008863,0.008835
25400,0.002252,0.001498,0.008856,0.008198
25500,0.002254,0.001553,0.008843,0.007979
25600,0.002247,0.001611,0.008852,0.008171
25700,0.002261,0.001680,0.008852,0.008654
25800,0.002252,0.001588,0.008878,0.008330
25900,0.002246,0.001688,0.008837,0.007848
26000,0.002258,0.001505,0.008856,0.007866
26100,0.002256,0.001637,0.008865,0.008143
26200,0.003138,0.002919,0.009143,0.008620
26300,0.002932,0.003373,0.010046,0.010487
26400,0.002483,0.002233,0.009098,0.008391
26500,0.002411,0.001922,0.008982,0.008698
