global_batch,control_batch,arrow_task_batch,qa_task_batch
38000,0.000770,0.002000,0.001033
38100,0.000742,0.001969,0.001032
38200,0.000761,0.001854,0.001026
38300,0.000758,0.001977,0.001033
38400,0.000763,0.001929,0.001059
38500,0.000772,0.001888,0.001054
38600,0.000756,0.001869,0.001042
38700,0.000731,0.001930,0.001059
38800,0.000732,0.001978,0.001053
38900,0.000850,0.001921,0.001036
39000,0.000792,0.001874,0.001047
39100,0.000759,0.001918,0.001035
39200,0.000757,0.002133,0.001047
39300,0.000755,0.002112,0.001037
39400,0.000744,0.001889,0.001029
39500,0.000769,0.001990,0.001043
39600,0.000806,0.002091,0.001073
39700,0.000802,0.001960,0.001033
39800,0.000783,0.001868,0.001055
39900,0.000766,0.001971,0.001023
40000,0.000758,0.001952,0.001062
40100,0.000764,0.001835,0.001045
40200,0.000757,0.001854,0.001058
40300,0.000771,0.001943,0.001051
40400,0.000756,0.001901,0.001056
40500,0.000758,0.001916,0.001046
40600,0.000729,0.002032,0.001049
40700,0.000735,0.001817,0.001021
40800,0.000752,0.001886,0.001055
40900,0.000763,0.001824,0.001054
41000,0.000733,0.001835,0.001023
41100,0.000719,0.001917,0.001031
41200,0.000719,0.001887,0.001056
41300,0.000736,0.001815,0.001046
41400,0.000733,0.001886,0.001028
41500,0.000722,0.001888,0.001037
41600,0.000724,0.001794,0.001045
41700,0.000754,0.001923,0.001032
41800,0.000711,0.001833,0.001025
41900,0.000728,0.001816,0.001047
42000,0.000748,0.001737,0.001049
42100,0.000740,0.001859,0.001048
42200,0.000710,0.001823,0.001047
42300,0.000734,0.001785,0.001038
42400,0.000814,0.001760,0.001019
42500,0.000733,0.001897,0.001038
42600,0.000757,0.001864,0.001106
42700,0.000735,0.001870,0.001021
42800,0.000743,0.001785,0.001031
42900,0.000755,0.001824,0.001033
43000,0.000738,0.001771,0.001027
43100,0.000731,0.001858,0.001050
43200,0.000760,0.001730,0.001052
43300,0.000707,0.001804,0.001034
43400,0.000694,0.001706,0.001032
43500,0.000710,0.001793,0.001056
43600,0.000723,0.001800,0.001046
43700,0.000740,0.001789,0.001032
43800,0.000694,0.001769,0.001057
43900,0.000748,0.001886,0.001042
44000,0.000690,0.001778,0.001027
44100,0.000707,0.001889,0.001026
44200,0.000726,0.001813,0.001010
44300,0.000743,0.001811,0.001037
44400,0.000720,0.001732,0.001012
44500,0.000703,0.001738,0.001051
44600,0.000736,0.001819,0.001041
44700,0.000687,0.001772,0.001017
44800,0.000716,0.001643,0.001029
44900,0.000745,0.001814,0.001033
45000,0.000680,0.001768,0.001034
45100,0.000731,0.001825,0.001036
45200,0.000738,0.001842,0.001021
45300,0.000720,0.001809,0.001041
45400,0.000767,0.001791,0.001032
45500,0.000730,0.001785,0.001051
45600,0.000675,0.001776,0.001031
45700,0.000713,0.001685,0.001024
45800,0.000710,0.001797,0.001039
45900,0.000876,0.001812,0.001046
46000,0.000751,0.001736,0.001019
46100,0.000696,0.001794,0.001035
46200,0.000700,0.001636,0.001022
46300,0.000724,0.001654,0.001018
46400,0.000715,0.001730,0.000996
46500,0.000728,0.001848,0.001033
46600,0.000740,0.001848,0.001037
46700,0.000707,0.001637,0.000991
46800,0.000691,0.001657,0.001029
46900,0.000681,0.001693,0.001014
47000,0.000720,0.001820,0.001039
47100,0.000759,0.001747,0.001017
47200,0.000809,0.001772,0.001056
47300,0.000801,0.001730,0.001054
47400,0.000710,0.001617,0.001016
47500,0.000701,0.001732,0.000997
47600,0.000678,0.001735,0.001019
47700,0.000706,0.001704,0.001014
47800,0.000693,0.001715,0.001049
47900,0.000688,0.001690,0.001017
48000,0.000727,0.001753,0.001029
48100,0.000688,0.001667,0.001023
48200,0.000666,0.001747,0.001039
48300,0.000685,0.001677,0.001032
48400,0.000729,0.001709,0.001014
48500,0.000754,0.001740,0.001055
48600,0.000699,0.001798,0.001036
48700,0.000714,0.001701,0.001020
48800,0.000690,0.001741,0.001027
48900,0.000837,0.001812,0.001024
49000,0.000743,0.001721,0.001011
49100,0.000692,0.001620,0.001033
49200,0.000691,0.001674,0.001002
49300,0.000732,0.001688,0.001034
49400,0.000714,0.001700,0.001027
49500,0.000674,0.001628,0.001022
49600,0.000725,0.001738,0.001020
49700,0.000679,0.001707,0.001014
49800,0.000685,0.001629,0.001016
49900,0.000682,0.001744,0.001016
50000,0.000698,0.001788,0.000998
50100,0.000688,0.001694,0.001018
50200,0.000676,0.001724,0.001023
50300,0.000718,0.001611,0.001022
50400,0.000705,0.001691,0.001007
