global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch
6500,0.000572,0.000995,0.003081,0.005784,0.001141,0.001004,0.001004,0.002114,0.002764,0.000608,0.000394
6600,0.000563,0.000925,0.003088,0.006124,0.001138,0.000998,0.000997,0.002140,0.002484,0.000769,0.000369
6700,0.000624,0.000948,0.003080,0.006808,0.001147,0.000999,0.001000,0.002140,0.002503,0.000629,0.000370
6800,0.000602,0.000947,0.003078,0.006554,0.001138,0.001008,0.001001,0.002145,0.002762,0.000697,0.000350
6900,0.000577,0.000979,0.003083,0.006584,0.001146,0.001001,0.001001,0.002172,0.002802,0.000656,0.000359
7000,0.000581,0.001010,0.003079,0.006744,0.001149,0.000997,0.000997,0.002142,0.002618,0.000657,0.000341
7100,0.000573,0.001011,0.003087,0.006548,0.001133,0.001009,0.000999,0.002162,0.002540,0.000698,0.000343
7200,0.000574,0.000902,0.003081,0.007703,0.001138,0.001000,0.001003,0.002131,0.002873,0.000692,0.000313
7300,0.000592,0.000983,0.003081,0.007439,0.001140,inf,0.001002,0.002168,0.002639,0.000698,0.000308
7400,0.000599,0.000974,0.003084,0.006405,0.001141,0.000999,0.001000,0.002128,0.002710,0.000620,0.000316
7500,0.000561,0.000957,0.003082,0.006324,0.001149,0.001004,0.001001,0.002137,0.002543,inf,0.000316
7600,0.000600,0.000937,0.003075,0.006955,0.001145,0.000996,0.001000,0.002126,0.002622,0.000613,0.000311
7700,0.000591,0.000974,0.003078,0.007593,0.001142,0.001002,0.001001,0.002153,0.002214,0.000661,0.000322
7800,0.000573,0.001120,0.003081,0.006587,0.001145,0.001000,inf,0.002138,0.002562,0.000593,0.000318
7900,0.000579,0.000979,0.003081,0.007237,0.001143,0.001003,0.001006,0.002090,0.002286,0.000718,0.000323
8000,0.000576,0.000973,0.003081,0.006772,0.001141,0.001002,0.001000,0.002125,0.002370,0.000655,0.000306
8100,0.000541,0.001025,0.003083,0.006327,0.001162,0.001007,0.001002,0.002170,0.002722,0.000637,0.000307
8200,0.000585,0.001001,0.003079,0.005740,0.001136,0.001001,0.001003,0.002136,0.002760,0.000607,0.000301
8300,0.000623,0.000995,0.003086,0.007362,0.001132,0.000998,0.000999,0.002147,0.002762,0.000715,0.000305
8400,0.000599,0.000932,0.003081,0.007328,0.001121,0.000999,0.001000,0.002152,0.002206,0.000631,0.000310
8500,0.000571,0.001049,0.003075,0.006783,0.001139,0.001001,0.000999,0.002131,0.002802,0.000664,0.000283
8600,0.000589,0.000979,0.003081,0.006951,0.001141,0.001001,0.001000,0.002114,0.002499,0.000681,0.000296
8700,0.000604,0.000938,0.003091,0.007152,0.001142,0.000998,0.000997,0.002104,0.002225,0.000584,0.000301
8800,0.000582,0.000942,0.003084,0.005990,0.001161,0.001004,0.001003,0.002155,0.002545,0.000657,0.000304
8900,0.000565,0.000993,0.003077,0.006104,0.001141,0.001000,0.001002,0.002095,0.002205,0.000618,0.000300
9000,0.000607,0.000931,0.003091,0.008045,0.001153,0.001000,0.000999,0.002123,0.002260,0.000648,0.000313
9100,0.000568,0.000981,0.003085,0.005872,0.001150,0.000999,0.001000,0.002118,0.002542,0.000572,0.000306
9200,0.000573,0.000987,0.003078,0.007299,0.001138,0.001001,0.001002,0.002187,0.002319,0.000688,0.000306
9300,0.000606,0.000992,0.003079,0.008297,0.001141,0.001001,0.001000,0.002124,0.002133,0.000626,0.000304
